student_id,belonging_1to5,workload_1to5,hours_working_job,free_text_comment
S001,3,4,20,Working more shifts lately so less time to study.
S002,5,3,8,No concerns right now.
S003,3,3,0,I added the class late and am still catching up.
S004,2,4,20,Hard to focus this month due to family stuff.
S005,4,3,5,Slow start but I feel better about it now.
S006,4,3,0,Really enjoying the group projects so far.
S007,4,3,10,I could use a review session before exams.
S008,3,4,12,I wish there were more practice problems.
S009,4,2,0,Office hours have been helpful.
S010,1,4,20,
S011,5,3,0,I like the hands-on labs.
S012,3,4,0,Doing okay but the readings pile up.
S013,4,3,15,I wish there were more practice problems.
S014,4,4,15,I could use a review session before exams.
S015,3,4,20,I am not sure my study approach is working.
S016,5,3,10,The examples in class connect well to the homework.
S017,3,4,15,The last two assignments took me much longer than earlier ones.
S018,2,3,20,Not sure this major is for me.
S019,2,5,20,
S020,5,3,5,Really enjoying the group projects so far.
S021,4,4,5,Doing okay but the readings pile up.
S022,1,3,20,
S023,3,5,25,Working more shifts lately so less time to study.
S024,3,3,0,Getting the hang of it after a rocky start.
S025,4,4,5,The first assignments were rough but recent ones went well.
S026,4,3,8,The examples in class connect well to the homework.
S027,3,4,15,I could use a review session before exams.
S028,5,3,0,The pace is fast but manageable.
S029,3,5,28,The last two assignments took me much longer than earlier ones.
S030,4,3,12,"Mostly fine, midterms were stressful."
S031,4,4,10,I could use a review session before exams.
S032,4,4,10,Some weeks are harder than others.
S033,3,3,5,Group scheduling is hard with my other classes.
S034,5,2,0,Really enjoying the group projects so far.
S035,3,4,12,Some weeks are harder than others.
S036,3,4,0,Group scheduling is hard with my other classes.
S037,5,2,5,The examples in class connect well to the homework.
S038,5,3,5,The pace is fast but manageable.
S039,3,3,12,Group scheduling is hard with my other classes.
S040,5,2,5,No concerns right now.
